date,store_nbr,transaction_aug
2013-01-08,8,917
2013-01-08,9,202
2013-01-08,10,794
2013-01-08,11,462
2013-01-08,12,400
2013-01-08,13,722
2013-01-08,14,601
2013-01-08,15,478
2013-01-08,16,355
2013-01-08,17,410
2013-01-08,18,505
2013-01-08,19,383
2013-01-08,23,457
2013-01-08,24,558
2013-01-08,25,228
2013-01-08,26,116
2013-01-08,27,387
2013-01-08,28,136
2013-01-08,30,45
2013-01-08,31,977
2013-01-08,32,671
2013-01-08,33,942
2013-01-08,34,216
2013-01-08,35,760
2013-01-08,37,32
2013-01-08,38,489
2013-01-08,39,629
2013-01-08,40,162
2013-01-08,41,242
2013-01-08,43,745
2013-01-08,44,411
2013-01-08,45,67
2013-01-08,46,609
2013-01-08,47,477
2013-01-08,48,976
2013-01-08,49,757
2013-01-08,50,742
2013-01-08,51,968
2013-01-08,54,68
2013-01-09,1,159
2013-01-09,2,28
2013-01-09,3,308
2013-01-09,4,749
2013-01-09,5,821
2013-01-09,6,61
2013-01-09,7,5
2013-01-09,8,141
2013-01-09,9,616
2013-01-09,10,767
2013-01-09,11,738
2013-01-09,12,232
2013-01-09,13,844
2013-01-09,14,252
2013-01-09,15,949
2013-01-09,16,96
2013-01-09,17,160
2013-01-09,18,457
2013-01-09,19,538
2013-01-09,23,777
2013-01-09,24,198
2013-01-09,25,730
2013-01-09,26,664
2013-01-09,27,910
2013-01-09,28,44
2013-01-09,30,452
2013-01-09,31,501
2013-01-09,32,615
2013-01-09,33,722
2013-01-09,34,72
2013-01-09,35,370
2013-01-09,37,181
2013-01-09,38,902
2013-01-09,39,262
2013-01-09,40,430
2013-01-09,41,501
2013-01-09,43,117
2013-01-09,44,448
2013-01-09,45,713
2013-01-09,46,472
2013-01-09,47,53
2013-01-09,48,281
2013-01-09,49,389
2013-01-09,50,726
2013-01-09,51,868
2013-01-09,54,899
2013-01-10,1,63
2013-01-10,2,383
2013-01-10,3,720
2013-01-10,4,926
2013-01-10,5,894
2013-01-10,6,469
2013-01-10,7,356
2013-01-10,8,392
2013-01-10,9,934
2013-01-10,10,849
2013-01-10,11,713
2013-01-10,12,976
2013-01-10,13,78
2013-01-10,14,932
2013-01-10,15,248
2013-01-10,16,92
2013-01-10,17,58
2013-01-10,18,826
2013-01-10,19,790
2013-01-10,23,605
2013-01-10,24,532
2013-01-10,25,214
2013-01-10,26,840
2013-01-10,27,44
2013-01-10,28,534
2013-01-10,30,681
2013-01-10,31,19
2013-01-10,32,314
2013-01-10,33,381
2013-01-10,34,898
2013-01-10,35,841
2013-01-10,37,977
2013-01-10,38,613
2013-01-10,39,34
2013-01-10,40,928
2013-01-10,41,864
2013-01-10,43,118
2013-01-10,44,682
2013-01-10,45,763
2013-01-10,46,674
2013-01-10,47,102
2013-01-10,48,294
2013-01-10,49,650
2013-01-10,50,753
2013-01-10,51,390
2013-01-10,54,505
2013-01-11,1,319
2013-01-11,2,444
2013-01-11,3,993
2013-01-11,4,336
2013-01-11,5,532
2013-01-11,6,211
2013-01-11,7,894
2013-01-11,8,116
2013-01-11,9,964
2013-01-11,10,580
2013-01-11,11,877
2013-01-11,12,405
2013-01-11,13,208
2013-01-11,14,571
2013-01-11,15,174
2013-01-11,16,44
2013-01-11,17,874
2013-01-11,18,395
2013-01-11,19,222
2013-01-11,23,603
2013-01-11,24,18
2013-01-11,25,70
2013-01-11,26,367
2013-01-11,27,798
2013-01-11,28,975
2013-01-11,30,424
2013-01-11,31,908
2013-01-11,32,579
2013-01-11,33,571
2013-01-11,34,962
2013-01-11,35,93
2013-01-11,37,415
2013-01-11,38,804
2013-01-11,39,501
2013-01-11,40,928
2013-01-11,41,484
2013-01-11,43,678
2013-01-11,44,638
2013-01-11,45,978
2013-01-11,46,574
2013-01-11,47,796
2013-01-11,48,3
2013-01-11,49,401
2013-01-11,50,851
2013-01-11,51,479
2013-01-11,54,146
2013-01-12,1,490
2013-01-12,2,797
2013-01-12,3,966
2013-01-12,4,565
2013-01-12,5,877
2013-01-12,6,816
2013-01-12,7,363
2013-01-12,8,815
2013-01-12,9,615
2013-01-12,10,566
2013-01-12,11,376
2013-01-12,12,175
2013-01-12,13,505
2013-01-12,14,787
2013-01-12,15,236
2013-01-12,16,564
2013-01-12,17,603
2013-01-12,18,666
2013-01-12,19,753
2013-01-12,23,354
2013-01-12,24,453
2013-01-12,25,744
2013-01-12,26,781
2013-01-12,27,920
2013-01-12,28,859
2013-01-12,30,528
2013-01-12,31,484
2013-01-12,32,647
2013-01-12,33,978
2013-01-12,34,173
2013-01-12,35,68
2013-01-12,37,775
2013-01-12,38,950
2013-01-12,39,321
2013-01-12,40,433
2013-01-12,41,125
2013-01-12,43,789
2013-01-12,44,659
2013-01-12,45,955
2013-01-12,46,819
2013-01-12,47,239
2013-01-12,48,802
2013-01-12,49,326
2013-01-12,50,29
2013-01-12,51,469
2013-01-12,54,422
2013-01-13,1,132
2013-01-13,2,352
2013-01-13,3,897
2013-01-13,4,961
2013-01-13,5,605
2013-01-13,6,805
2013-01-13,7,175
2013-01-13,8,289
2013-01-13,9,913
2013-01-13,10,731
2013-01-13,11,710
2013-01-13,12,6
2013-01-13,13,446
2013-01-13,14,779
2013-01-13,15,901
2013-01-13,16,356
2013-01-13,17,977
2013-01-13,18,23
2013-01-13,19,441
2013-01-13,23,530
2013-01-13,24,311
2013-01-13,25,493
2013-01-13,26,804
2013-01-13,27,429
2013-01-13,28,901
2013-01-13,30,152
2013-01-13,31,760
2013-01-13,32,950
2013-01-13,33,85
2013-01-13,34,484
2013-01-13,35,723
2013-01-13,37,593
2013-01-13,38,569
2013-01-13,39,616
2013-01-13,40,160
2013-01-13,41,907
2013-01-13,43,57
2013-01-13,44,201
2013-01-13,45,763
2013-01-13,46,56
2013-01-13,47,325
2013-01-13,48,916
2013-01-13,49,974
2013-01-13,50,49
2013-01-13,51,493
2013-01-13,54,764
2013-01-14,1,674
2013-01-14,2,119
2013-01-14,3,803
2013-01-14,4,290
2013-01-14,5,573
2013-01-14,6,9
2013-01-14,7,439
2013-01-14,8,574
2013-01-14,9,875
2013-01-14,10,651
2013-01-14,11,661
2013-01-14,12,214
2013-01-14,13,383
2013-01-14,14,492
2013-01-14,15,311
2013-01-14,16,770
2013-01-14,17,603
2013-01-14,18,515
2013-01-14,19,277
2013-01-14,23,724
2013-01-14,24,371
2013-01-14,25,651
2013-01-14,26,579
2013-01-14,27,718
2013-01-14,28,262
2013-01-14,30,362
2013-01-14,31,840
2013-01-14,32,90
2013-01-14,33,697
2013-01-14,34,164
2013-01-14,35,602
2013-01-14,37,978
2013-01-14,38,778
2013-01-14,39,832
2013-01-14,40,879
2013-01-14,41,233
2013-01-14,43,37
2013-01-14,44,870
2013-01-14,45,66
2013-01-14,46,466
2013-01-14,47,518
2013-01-14,48,426
2013-01-14,49,890
2013-01-14,50,61
2013-01-14,51,948
2013-01-14,54,436
2013-01-15,1,644
2013-01-15,2,397
2013-01-15,3,444
2013-01-15,4,430
2013-01-15,5,214
2013-01-15,6,957
2013-01-15,7,394
2013-01-15,8,818
2013-01-15,9,123
2013-01-15,10,558
2013-01-15,11,60
2013-01-15,12,143
2013-01-15,13,961
2013-01-15,14,168
2013-01-15,15,979
2013-01-15,16,144
2013-01-15,17,93
2013-01-15,18,655
2013-01-15,19,602
2013-01-15,23,445
2013-01-15,24,542
2013-01-15,25,886
2013-01-15,26,703
2013-01-15,27,235
2013-01-15,28,270
2013-01-15,30,930
2013-01-15,31,988
2013-01-15,32,627
2013-01-15,33,65
2013-01-15,34,855
2013-01-15,35,71
2013-01-15,37,352
2013-01-15,38,916
2013-01-15,39,865
2013-01-15,40,464
2013-01-15,41,337
2013-01-15,43,81
2013-01-15,44,538
2013-01-15,45,707
2013-01-15,46,148
2013-01-15,47,408
2013-01-15,48,684
2013-01-15,49,659
2013-01-15,50,397
2013-01-15,51,680
2013-01-15,54,242
2013-01-16,1,705
2013-01-16,2,354
2013-01-16,3,384
2013-01-16,4,820
2013-01-16,5,869
2013-01-16,6,865
2013-01-16,7,803
2013-01-16,8,202
2013-01-16,9,556
2013-01-16,10,614
2013-01-16,11,906
2013-01-16,12,112
2013-01-16,13,863
2013-01-16,14,20
2013-01-16,15,289
2013-01-16,16,481
2013-01-16,17,867
2013-01-16,18,343
2013-01-16,19,643
2013-01-16,23,503
2013-01-16,24,838
2013-01-16,25,231
2013-01-16,26,953
2013-01-16,27,935
2013-01-16,28,131
2013-01-16,30,446
2013-01-16,31,436
2013-01-16,32,81
2013-01-16,33,486
2013-01-16,34,180
2013-01-16,35,432
2013-01-16,37,865
2013-01-16,38,879
2013-01-16,39,88
2013-01-16,40,854
2013-01-16,41,553
2013-01-16,43,579
2013-01-16,44,999
2013-01-16,45,210
2013-01-16,46,972
2013-01-16,47,275
2013-01-16,48,290
2013-01-16,49,438
2013-01-16,50,77
2013-01-16,51,412
2013-01-16,54,442
2013-01-17,1,803
2013-01-17,2,170
2013-01-17,3,5
2013-01-17,4,668
2013-01-17,5,672
2013-01-17,6,517
2013-01-17,7,884
2013-01-17,8,532
2013-01-17,9,159
2013-01-17,10,846
2013-01-17,11,391
2013-01-17,12,920
2013-01-17,13,282
2013-01-17,14,908
2013-01-17,15,57
2013-01-17,16,178
2013-01-17,17,871
2013-01-17,18,870
2013-01-17,19,664
2013-01-17,23,264
2013-01-17,24,312
2013-01-17,25,313
2013-01-17,26,168
2013-01-17,27,884
2013-01-17,28,747
2013-01-17,30,99
2013-01-17,31,325
2013-01-17,32,548
2013-01-17,33,628
2013-01-17,34,216
2013-01-17,35,951
2013-01-17,37,848
2013-01-17,38,18
2013-01-17,39,638
2013-01-17,40,977
2013-01-17,41,250
2013-01-17,43,856
2013-01-17,44,124
2013-01-17,45,972
2013-01-17,46,261
2013-01-17,47,198
2013-01-17,48,362
2013-01-17,49,83
2013-01-17,50,414
2013-01-17,51,547
2013-01-17,54,124
2013-01-18,1,827
2013-01-18,2,222
2013-01-18,3,787
2013-01-18,4,558
2013-01-18,5,423
2013-01-18,6,480
2013-01-18,7,947
2013-01-18,8,958
2013-01-18,9,153
2013-01-18,10,148
2013-01-18,11,735
2013-01-18,12,944
2013-01-18,13,864
2013-01-18,14,184
2013-01-18,15,340
2013-01-18,16,463
2013-01-18,17,207
2013-01-18,18,713
2013-01-18,19,67
2013-01-18,23,750
2013-01-18,24,642
2013-01-18,25,911
2013-01-18,26,371
2013-01-18,27,390
2013-01-18,28,353
2013-01-18,30,803
2013-01-18,31,604
2013-01-18,32,190
2013-01-18,33,648
2013-01-18,34,862
2013-01-18,35,304
2013-01-18,37,567
2013-01-18,38,279
2013-01-18,39,292
2013-01-18,40,303
2013-01-18,41,952
2013-01-18,43,597
2013-01-18,44,454
2013-01-18,45,710
2013-01-18,46,605
2013-01-18,47,362
2013-01-18,48,159
2013-01-18,49,305
2013-01-18,50,636
2013-01-18,51,774
2013-01-18,54,529
2013-01-19,1,858
2013-01-19,2,688
2013-01-19,3,998
2013-01-19,4,895
2013-01-19,5,936
2013-01-19,6,632
2013-01-19,7,9
2013-01-19,8,117
2013-01-19,9,988
2013-01-19,10,298
2013-01-19,11,17
2013-01-19,12,382
2013-01-19,13,276
2013-01-19,14,179
2013-01-19,15,270
2013-01-19,16,520
2013-01-19,17,978
2013-01-19,18,251
2013-01-19,19,212
2013-01-19,23,240
2013-01-19,24,341
2013-01-19,25,260
2013-01-19,26,651
2013-01-19,27,124
2013-01-19,28,443
2013-01-19,30,7
2013-01-19,31,177
2013-01-19,32,968
2013-01-19,33,696
2013-01-19,34,19
2013-01-19,35,387
2013-01-19,37,304
2013-01-19,38,870
2013-01-19,39,827
2013-01-19,40,89
2013-01-19,41,902
2013-01-19,43,682
2013-01-19,44,772
2013-01-19,45,884
2013-01-19,46,253
2013-01-19,47,984
2013-01-19,48,420
2013-01-19,49,519
2013-01-19,50,840
2013-01-19,51,621
2013-01-19,54,521
2013-01-20,1,39
2013-01-20,2,328
2013-01-20,3,660
2013-01-20,4,674
2013-01-20,5,258
2013-01-20,6,958
2013-01-20,7,512
2013-01-20,8,132
2013-01-20,9,825
2013-01-20,10,621
2013-01-20,11,670
2013-01-20,12,816
2013-01-20,13,671
2013-01-20,14,229
2013-01-20,15,558
2013-01-20,16,460
2013-01-20,17,101
2013-01-20,18,428
2013-01-20,19,628
2013-01-20,23,549
2013-01-20,24,524
2013-01-20,25,221
2013-01-20,26,128
2013-01-20,27,797
2013-01-20,28,772
2013-01-20,30,467
2013-01-20,31,325
2013-01-20,32,882
2013-01-20,33,803
2013-01-20,34,795
2013-01-20,35,473
2013-01-20,37,651
2013-01-20,38,255
2013-01-20,39,666
2013-01-20,40,278
2013-01-20,41,647
2013-01-20,43,498
2013-01-20,44,617
2013-01-20,45,217
2013-01-20,46,16
2013-01-20,47,700
2013-01-20,48,411
2013-01-20,49,63
2013-01-20,50,360
2013-01-20,51,29
2013-01-20,54,291
2013-01-21,1,961
2013-01-21,2,733
2013-01-21,3,380
2013-01-21,4,245
2013-01-21,5,421
2013-01-21,6,23
2013-01-21,7,369
2013-01-21,8,699
2013-01-21,9,975
2013-01-21,10,261
2013-01-21,11,963
2013-01-21,12,92
2013-01-21,13,346
2013-01-21,14,365
2013-01-21,15,614
2013-01-21,16,40
2013-01-21,17,336
2013-01-21,18,79
2013-01-21,19,685
2013-01-21,23,713
2013-01-21,24,624
2013-01-21,25,953
2013-01-21,26,226
2013-01-21,27,784
2013-01-21,28,896
2013-01-21,30,226
2013-01-21,31,140
2013-01-21,32,393
2013-01-21,33,779
2013-01-21,34,523
2013-01-21,35,638
2013-01-21,37,566
2013-01-21,38,874
2013-01-21,39,627
2013-01-21,40,966
2013-01-21,41,838
2013-01-21,43,693
2013-01-21,44,521
2013-01-21,45,991
2013-01-21,46,714
2013-01-21,47,740
2013-01-21,48,990
2013-01-21,49,954
2013-01-21,50,658
2013-01-21,51,689
2013-01-21,54,355
2013-01-22,1,441
2013-01-22,2,611
2013-01-22,3,442
2013-01-22,4,982
2013-01-22,5,185
2013-01-22,6,547
2013-01-22,7,598
2013-01-22,8,490
2013-01-22,9,164
2013-01-22,10,87
2013-01-22,11,302
2013-01-22,12,882
2013-01-22,13,910
2013-01-22,14,434
2013-01-22,15,285
2013-01-22,16,907
2013-01-22,17,645
2013-01-22,18,609
2013-01-22,19,574
2013-01-22,23,595
2013-01-22,24,154
2013-01-22,25,794
2013-01-22,26,759
2013-01-22,27,64
2013-01-22,28,575
2013-01-22,30,804
2013-01-22,31,964
2013-01-22,32,576
2013-01-22,33,963
2013-01-22,34,880
2013-01-22,35,420
2013-01-22,37,146
2013-01-22,38,342
2013-01-22,39,210
2013-01-22,40,463
2013-01-22,41,835
2013-01-22,43,818
2013-01-22,44,652
2013-01-22,45,247
2013-01-22,46,493
2013-01-22,47,373
2013-01-22,48,400
2013-01-22,49,289
2013-01-22,50,954
2013-01-22,51,518
2013-01-22,54,792
2013-01-23,1,277
2013-01-23,2,40
2013-01-23,3,241
2013-01-23,4,120
2013-01-23,5,86
2013-01-23,6,221
2013-01-23,7,41
2013-01-23,8,753
2013-01-23,9,810
2013-01-23,10,459
2013-01-23,11,838
2013-01-23,12,913
2013-01-23,13,181
2013-01-23,14,313
2013-01-23,15,118
2013-01-23,16,558
2013-01-23,17,447
2013-01-23,18,427
2013-01-23,19,383
2013-01-23,23,558
2013-01-23,24,769
2013-01-23,25,722
2013-01-23,26,17
2013-01-23,27,771
2013-01-23,28,457
2013-01-23,30,212
2013-01-23,31,348
2013-01-23,32,856
2013-01-23,33,988
2013-01-23,34,562
2013-01-23,35,669
2013-01-23,37,327
2013-01-23,38,142
2013-01-23,39,244
2013-01-23,40,100
2013-01-23,41,848
2013-01-23,43,196
2013-01-23,44,617
2013-01-23,45,362
2013-01-23,46,936
2013-01-23,47,701
2013-01-23,48,892
2013-01-23,49,959
2013-01-23,50,223
2013-01-23,51,346
2013-01-23,54,956
2013-01-24,1,269
2013-01-24,2,380
2013-01-24,3,710
2013-01-24,4,592
2013-01-24,5,585
2013-01-24,6,488
2013-01-24,7,363
2013-01-24,8,261
2013-01-24,9,268
2013-01-24,10,604
2013-01-24,11,613
2013-01-24,12,856
2013-01-24,13,691
2013-01-24,14,554
2013-01-24,15,806
2013-01-24,16,88
2013-01-24,17,384
2013-01-24,18,364
2013-01-24,19,817
2013-01-24,23,179
2013-01-24,24,334
2013-01-24,25,898
2013-01-24,26,490
2013-01-24,27,789
2013-01-24,28,891
2013-01-24,30,103
2013-01-24,31,728
2013-01-24,32,356
2013-01-24,33,146
2013-01-24,34,302
2013-01-24,35,645
2013-01-24,37,184
2013-01-24,38,436
2013-01-24,39,75
2013-01-24,40,562
2013-01-24,41,32
2013-01-24,43,242
2013-01-24,44,195
2013-01-24,45,825
2013-01-24,46,721
2013-01-24,47,476
2013-01-24,48,449
2013-01-24,49,94
2013-01-24,50,485
2013-01-24,51,210
2013-01-24,54,182
2013-01-25,1,346
2013-01-25,2,215
2013-01-25,3,682
2013-01-25,4,423
2013-01-25,5,473
2013-01-25,6,817
2013-01-25,7,390
2013-01-25,8,681
2013-01-25,9,240
2013-01-25,10,442
2013-01-25,11,458
2013-01-25,12,909
2013-01-25,13,918
2013-01-25,14,932
2013-01-25,15,656
2013-01-25,16,386
2013-01-25,17,343
2013-01-25,18,738
2013-01-25,19,501
2013-01-25,23,193
2013-01-25,24,13
2013-01-25,25,711
2013-01-25,26,962
2013-01-25,27,375
2013-01-25,28,275
2013-01-25,30,606
2013-01-25,31,258
2013-01-25,32,664
2013-01-25,33,634
2013-01-25,34,623
2013-01-25,35,580
2013-01-25,37,816
2013-01-25,38,286
2013-01-25,39,874
2013-01-25,40,594
2013-01-25,41,454
2013-01-25,43,297
2013-01-25,44,549
2013-01-25,45,598
2013-01-25,46,518
2013-01-25,47,96
2013-01-25,48,333
2013-01-25,49,752
2013-01-25,50,730
2013-01-25,51,810
2013-01-25,54,824
2013-01-26,1,486
2013-01-26,2,371
2013-01-26,3,205
2013-01-26,4,396
2013-01-26,5,828
2013-01-26,6,245
2013-01-26,7,522
2013-01-26,8,860
2013-01-26,9,326
2013-01-26,10,92
2013-01-26,11,659
2013-01-26,12,345
2013-01-26,13,190
2013-01-26,14,310
2013-01-26,15,919
2013-01-26,16,423
2013-01-26,17,549
2013-01-26,18,414
2013-01-26,19,838
2013-01-26,23,804
2013-01-26,24,872
2013-01-26,25,667
2013-01-26,26,922
2013-01-26,27,353
2013-01-26,28,589
2013-01-26,30,633
2013-01-26,31,364
2013-01-26,32,249
2013-01-26,33,159
2013-01-26,34,774
2013-01-26,35,837
2013-01-26,37,910
2013-01-26,38,941
2013-01-26,39,925
2013-01-26,40,605
2013-01-26,41,23
2013-01-26,43,424
2013-01-26,44,935
2013-01-26,45,313
2013-01-26,46,802
2013-01-26,47,789
2013-01-26,48,104
2013-01-26,49,658
2013-01-26,50,305
2013-01-26,51,292
2013-01-26,54,118
2013-01-27,1,931
2013-01-27,2,755
2013-01-27,3,11
2013-01-27,4,598
2013-01-27,5,344
2013-01-27,6,247
2013-01-27,7,127
2013-01-27,8,441
2013-01-27,9,600
2013-01-27,10,51
2013-01-27,11,650
2013-01-27,12,712
2013-01-27,13,564
2013-01-27,14,443
2013-01-27,15,859
2013-01-27,16,286
2013-01-27,17,517
2013-01-27,18,259
2013-01-27,19,717
2013-01-27,23,247
2013-01-27,24,603
2013-01-27,25,163
2013-01-27,26,690
2013-01-27,27,102
2013-01-27,28,561
2013-01-27,30,427
2013-01-27,31,980
2013-01-27,32,229
2013-01-27,33,937
2013-01-27,34,703
2013-01-27,35,391
2013-01-27,37,384
2013-01-27,38,366
2013-01-27,39,144
2013-01-27,40,475
2013-01-27,41,903
2013-01-27,43,331
2013-01-27,44,826
2013-01-27,45,874
2013-01-27,46,864
2013-01-27,47,649
2013-01-27,48,476
2013-01-27,49,547
2013-01-27,50,347
2013-01-27,51,99
2013-01-27,54,130
2013-01-28,1,611
2013-01-28,2,349
2013-01-28,3,260
2013-01-28,4,115
2013-01-28,5,299
2013-01-28,6,370
2013-01-28,7,741
2013-01-28,8,23
2013-01-28,9,645
2013-01-28,10,115
2013-01-28,11,847
2013-01-28,12,392
2013-01-28,13,424
2013-01-28,14,608
2013-01-28,15,634
2013-01-28,16,634
2013-01-28,17,531
2013-01-28,18,549
2013-01-28,19,319
2013-01-28,23,834
2013-01-28,24,154
2013-01-28,25,857
2013-01-28,26,911
2013-01-28,27,81
2013-01-28,28,984
2013-01-28,30,627
2013-01-28,31,367
2013-01-28,32,631
2013-01-28,33,669
2013-01-28,34,263
2013-01-28,35,474
2013-01-28,37,733
2013-01-28,38,902
2013-01-28,39,199
2013-01-28,40,223
2013-01-28,41,322
2013-01-28,43,252
2013-01-28,44,467
2013-01-28,45,294
2013-01-28,46,759
2013-01-28,47,750
2013-01-28,48,99
2013-01-28,49,758
2013-01-28,50,198
2013-01-28,51,142
2013-01-28,54,363
2013-01-29,1,228
2013-01-29,2,374
2013-01-29,3,858
2013-01-29,4,207
2013-01-29,5,95
2013-01-29,6,629
2013-01-29,7,742
2013-01-29,8,838
2013-01-29,9,909
2013-01-29,10,238
2013-01-29,11,342
2013-01-29,12,446
2013-01-29,13,759
2013-01-29,14,672
2013-01-29,15,874
2013-01-29,16,910
2013-01-29,17,654
2013-01-29,18,486
2013-01-29,19,164
2013-01-29,23,183
2013-01-29,24,617
2013-01-29,25,954
2013-01-29,26,182
2013-01-29,27,952
2013-01-29,28,253
2013-01-29,30,972
2013-01-29,31,786
