,date,store_nbr,item_nbr,item_aug,Y
251,2013-01-01,25,567778,58,1940
252,2013-01-01,25,567781,806,2688
253,2013-01-01,25,567787,479,2361
254,2013-01-01,25,568133,38,1920
255,2013-01-01,25,575863,546,2428
256,2013-01-01,25,575875,896,2778
257,2013-01-01,25,577745,938,2820
258,2013-01-01,25,578097,34,1916
259,2013-01-01,25,580929,266,2148
260,2013-01-01,25,581078,335,2217
261,2013-01-01,25,582863,815,2697
262,2013-01-01,25,582864,212,2094
263,2013-01-01,25,583795,350,2232
264,2013-01-01,25,583797,275,2157
265,2013-01-01,25,583799,593,2475
266,2013-01-01,25,583868,681,2563
267,2013-01-01,25,583925,403,2285
268,2013-01-01,25,583927,471,2353
269,2013-01-01,25,583931,297,2179
270,2013-01-01,25,583968,494,2376
271,2013-01-01,25,583973,235,2117
272,2013-01-01,25,584026,49,1931
273,2013-01-01,25,584028,160,2042
274,2013-01-01,25,584076,647,2529
275,2013-01-01,25,584078,804,2686
276,2013-01-01,25,584188,115,1997
277,2013-01-01,25,586969,459,2341
278,2013-01-01,25,587069,962,2844
279,2013-01-01,25,587156,757,2639
280,2013-01-01,25,587186,6,1888
281,2013-01-01,25,594045,28,1910
282,2013-01-01,25,617092,57,1939
283,2013-01-01,25,617548,221,2103
284,2013-01-01,25,621300,950,2832
285,2013-01-01,25,623316,26,1908
286,2013-01-01,25,627263,308,2190
287,2013-01-01,25,633997,503,2385
288,2013-01-01,25,634009,578,2460
289,2013-01-01,25,634010,676,2558
290,2013-01-01,25,634014,180,2062
291,2013-01-01,25,634054,443,2325
292,2013-01-01,25,636846,518,2400
293,2013-01-01,25,637016,568,2450
294,2013-01-01,25,638240,183,2065
295,2013-01-01,25,638308,116,1998
296,2013-01-01,25,638327,903,2785
297,2013-01-01,25,641042,636,2518
298,2013-01-01,25,651523,360,2242
299,2013-01-01,25,655840,730,2612
300,2013-01-01,25,657869,628,2510
301,2013-01-01,25,660502,652,2534
302,2013-01-01,25,660503,302,2184
303,2013-01-01,25,664539,657,2539
304,2013-01-01,25,668754,235,2117
305,2013-01-01,25,671039,122,2004
306,2013-01-01,25,671051,887,2769
307,2013-01-01,25,671062,534,2416
308,2013-01-01,25,671076,542,2424
309,2013-01-01,25,671079,658,2540
310,2013-01-01,25,671083,542,2424
311,2013-01-01,25,671684,632,2514
312,2013-01-01,25,671699,810,2692
313,2013-01-01,25,671706,415,2297
314,2013-01-01,25,671708,742,2624
315,2013-01-01,25,679442,914,2796
316,2013-01-01,25,679602,412,2294
317,2013-01-01,25,683722,247,2129
318,2013-01-01,25,683723,549,2431
319,2013-01-01,25,692104,473,2355
320,2013-01-01,25,692531,448,2330
321,2013-01-01,25,692537,119,2001
322,2013-01-01,25,699692,535,2417
323,2013-01-01,25,699693,123,2005
324,2013-01-01,25,699703,759,2641
325,2013-01-01,25,700609,208,2090
326,2013-01-01,25,716250,830,2712
327,2013-01-01,25,723184,707,2589
328,2013-01-01,25,723210,646,2528
329,2013-01-01,25,724003,231,2113
330,2013-01-01,25,730258,137,2019
331,2013-01-01,25,730259,559,2441
332,2013-01-01,25,732006,166,2048
333,2013-01-01,25,732007,150,2032
334,2013-01-01,25,740713,171,2053
335,2013-01-01,25,740714,298,2180
336,2013-01-01,25,742735,370,2252
337,2013-01-01,25,742738,833,2715
338,2013-01-01,25,743494,466,2348
339,2013-01-01,25,743496,274,2156
340,2013-01-01,25,743497,407,2289
341,2013-01-01,25,749421,66,1948
342,2013-01-01,25,749720,17,1899
343,2013-01-01,25,752987,709,2591
344,2013-01-01,25,757880,375,2257
345,2013-01-01,25,758861,781,2663
346,2013-01-01,25,759651,311,2193
347,2013-01-01,25,759697,700,2582
348,2013-01-01,25,759698,529,2411
349,2013-01-01,25,759893,848,2730
350,2013-01-01,25,762405,382,2264
351,2013-01-01,25,765092,2,1884
352,2013-01-01,25,765518,112,1994
353,2013-01-01,25,767183,846,2728
354,2013-01-01,25,769312,743,2625
355,2013-01-01,25,769314,588,2470
356,2013-01-01,25,771156,221,2103
357,2013-01-01,25,779122,738,2620
358,2013-01-01,25,781794,999,2881
359,2013-01-01,25,781796,108,1990
360,2013-01-01,25,781797,116,1998
361,2013-01-01,25,781798,987,2869
362,2013-01-01,25,783243,856,2738
363,2013-01-01,25,789223,713,2595
364,2013-01-01,25,789224,587,2469
365,2013-01-01,25,789905,896,2778
366,2013-01-01,25,795612,122,2004
367,2013-01-01,25,796396,432,2314
368,2013-01-01,25,801217,257,2139
369,2013-01-01,25,802832,762,2644
370,2013-01-01,25,802833,348,2230
371,2013-01-01,25,804932,493,2375
372,2013-01-01,25,805788,477,2359
373,2013-01-01,25,807493,610,2492
374,2013-01-01,25,809183,24,1906
375,2013-01-01,25,812716,943,2825
376,2013-01-01,25,812751,48,1930
377,2013-01-01,25,812769,559,2441
378,2013-01-01,25,816606,805,2687
379,2013-01-01,25,819194,506,2388
380,2013-01-01,25,819195,685,2567
381,2013-01-01,25,819206,55,1937
382,2013-01-01,25,819209,463,2345
383,2013-01-01,25,819231,371,2253
384,2013-01-01,25,823245,187,2069
385,2013-01-01,25,827911,533,2415
386,2013-01-01,25,828204,177,2059
387,2013-01-01,25,828632,366,2248
388,2013-01-01,25,829389,389,2271
389,2013-01-01,25,830624,90,1972
390,2013-01-01,25,830625,890,2772
391,2013-01-01,25,830797,929,2811
392,2013-01-01,25,838215,606,2488
393,2013-01-01,25,838216,895,2777
394,2013-01-01,25,838217,749,2631
395,2013-01-01,25,838406,537,2419
396,2013-01-01,25,838407,705,2587
397,2013-01-01,25,838408,913,2795
398,2013-01-01,25,839362,974,2856
399,2013-01-01,25,839363,536,2418
400,2013-01-01,25,839544,703,2585
401,2013-01-01,25,839545,151,2033
402,2013-01-01,25,841197,181,2063
403,2013-01-01,25,841612,760,2642
404,2013-01-01,25,841841,461,2343
405,2013-01-01,25,843462,82,1964
406,2013-01-01,25,843585,400,2282
407,2013-01-01,25,844017,477,2359
408,2013-01-01,25,844019,735,2617
409,2013-01-01,25,847859,745,2627
410,2013-01-01,25,847863,560,2442
411,2013-01-01,25,847894,485,2367
412,2013-01-01,25,848765,247,2129
413,2013-01-01,25,848953,796,2678
414,2013-01-01,25,849098,773,2655
415,2013-01-01,25,850333,857,2739
416,2013-01-01,25,850460,646,2528
417,2013-01-01,25,851982,930,2812
418,2013-01-01,25,852620,843,2725
419,2013-01-01,25,856687,345,2227
420,2013-01-01,25,859529,972,2854
421,2013-01-01,25,859932,417,2299
422,2013-01-01,25,860548,584,2466
423,2013-01-01,25,862213,764,2646
424,2013-01-01,25,862454,18,1900
425,2013-01-01,25,864510,695,2577
426,2013-01-01,25,868529,122,2004
427,2013-01-01,25,870545,840,2722
428,2013-01-01,25,870546,942,2824
429,2013-01-01,25,871421,748,2630
430,2013-01-01,25,872317,344,2226
431,2013-01-01,25,874990,276,2158
432,2013-01-01,25,875604,379,2261
433,2013-01-01,25,878715,886,2768
434,2013-01-01,25,882624,794,2676
435,2013-01-01,25,885543,846,2728
436,2013-01-01,25,888689,860,2742
437,2013-01-01,25,890213,697,2579
438,2013-01-01,25,890215,489,2371
439,2013-01-01,25,890371,395,2277
440,2013-01-01,25,890372,647,2529
441,2013-01-01,25,895291,484,2366
442,2013-01-01,25,902839,933,2815
443,2013-01-01,25,906979,899,2781
444,2013-01-01,25,907684,921,2803
445,2013-01-01,25,908741,116,1998
446,2013-01-01,25,911429,176,2058
447,2013-01-01,25,911871,176,2058
448,2013-01-01,25,913363,985,2867
449,2013-01-01,25,913364,366,2248
450,2013-01-01,25,913521,33,1915
451,2013-01-01,25,913964,528,2410
452,2013-01-01,25,913966,33,1915
453,2013-01-01,25,915310,245,2127
454,2013-01-01,25,915822,299,2181
455,2013-01-01,25,915980,799,2681
456,2013-01-01,25,916885,171,2053
457,2013-01-01,25,916886,742,2624
458,2013-01-01,25,926958,661,2543
459,2013-01-01,25,930247,886,2768
460,2013-01-01,25,936994,481,2363
461,2013-01-01,25,938125,166,2048
462,2013-01-01,25,938126,71,1953
463,2013-01-01,25,938129,316,2198
464,2013-01-01,25,938566,898,2780
465,2013-01-01,25,938567,780,2662
466,2013-01-01,25,938575,562,2444
467,2013-01-01,25,938576,105,1987
468,2013-01-01,25,938657,926,2808
469,2013-01-01,25,938659,991,2873
470,2013-01-01,25,939207,602,2484
471,2013-01-01,25,939662,561,2443
472,2013-01-01,25,940591,961,2843
473,2013-01-01,25,940616,928,2810
474,2013-01-01,25,949297,583,2465
475,2013-01-01,25,949299,228,2110
476,2013-01-01,25,949511,524,2406
477,2013-01-01,25,953427,825,2707
478,2013-01-01,25,953428,663,2545
479,2013-01-01,25,953562,635,2517
480,2013-01-01,25,953609,625,2507
481,2013-01-01,25,954553,243,2125
482,2013-01-01,25,956012,976,2858
483,2013-01-01,25,956014,509,2391
484,2013-01-01,25,957098,933,2815
485,2013-01-01,25,958016,52,1934
486,2013-01-01,25,958514,670,2552
487,2013-01-01,25,968432,899,2781
488,2013-01-01,25,968935,888,2770
489,2013-01-01,25,968936,690,2572
490,2013-01-01,25,968937,635,2517
491,2013-01-01,25,979197,360,2242
492,2013-01-01,25,979199,77,1959
493,2013-01-01,25,988459,167,2049
494,2013-01-01,25,991329,730,2612
495,2013-01-01,25,996122,271,2153
496,2013-01-01,25,996600,565,2447
497,2013-01-01,25,999545,764,2646
498,2013-01-01,25,1003679,934,2816
499,2013-01-01,25,1004550,238,2120
500,2013-01-01,25,1004551,918,2800
501,2013-01-01,25,1009998,435,2317
502,2013-01-01,25,1014865,792,2674
503,2013-01-01,25,1020237,298,2180
504,2013-01-01,25,1028589,553,2435
505,2013-01-01,25,1037838,122,2004
506,2013-01-01,25,1037845,26,1908
507,2013-01-01,25,1037856,837,2719
508,2013-01-01,25,1037857,125,2007
509,2013-01-01,25,1038952,195,2077
510,2013-01-01,25,1040170,40,1922
511,2013-01-01,25,1044592,443,2325
512,2013-01-01,25,1047675,120,2002
513,2013-01-01,25,1047679,222,2104
514,2013-01-01,25,1047680,299,2181
515,2013-01-01,25,1047681,101,1983
516,2013-01-01,25,1047685,717,2599
517,2013-01-01,25,1047686,456,2338
518,2013-01-01,25,1047690,524,2406
519,2013-01-01,25,1047696,13,1895
520,2013-01-01,25,1047698,940,2822
521,2013-01-01,25,1047702,836,2718
522,2013-01-01,25,1047703,526,2408
523,2013-01-01,25,1047705,339,2221
524,2013-01-01,25,1047717,586,2468
525,2013-01-01,25,1047733,807,2689
526,2013-01-01,25,1047743,131,2013
527,2013-01-01,25,1047755,670,2552
528,2013-01-01,25,1047756,346,2228
529,2013-01-01,25,1047757,435,2317
530,2013-01-01,25,1047758,180,2062
531,2013-01-01,25,1047772,43,1925
532,2013-01-01,25,1047773,376,2258
533,2013-01-01,25,1047774,630,2512
534,2013-01-01,25,1047775,290,2172
535,2013-01-01,25,1047786,780,2662
536,2013-01-01,25,1047790,268,2150
537,2013-01-01,25,1052022,551,2433
538,2013-01-01,25,1052563,604,2486
539,2013-01-01,25,1060036,501,2383
540,2013-01-01,25,1062374,398,2280
541,2013-01-01,25,1066900,171,2053
542,2013-01-01,25,1066901,919,2801
543,2013-01-01,25,1070962,837,2719
544,2013-01-01,25,1071949,994,2876
545,2013-01-01,25,1074327,307,2189
546,2013-01-01,25,1076066,778,2660
547,2013-01-01,25,1076155,311,2193
548,2013-01-01,25,1079214,276,2158
549,2013-01-01,25,1079329,514,2396
550,2013-01-01,25,1080021,441,2323
551,2013-01-01,25,1080756,69,1951
552,2013-01-01,25,1081359,265,2147
553,2013-01-01,25,1083152,448,2330
554,2013-01-01,25,1083196,266,2148
555,2013-01-01,25,1084881,286,2168
556,2013-01-01,25,1084882,813,2695
557,2013-01-01,25,1085246,817,2699
558,2013-01-01,25,1086172,485,2367
559,2013-01-01,25,1087270,639,2521
560,2013-01-01,25,1088002,486,2368
561,2013-01-01,25,1089046,718,2600
562,2013-01-01,25,1089843,150,2032
563,2013-01-01,25,1089844,695,2577
564,2013-01-01,25,1090401,590,2472
565,2013-01-01,25,1091365,770,2652
566,2013-01-01,25,1091366,19,1901
567,2013-01-01,25,1097187,917,2799
568,2013-01-01,25,1101724,616,2498
569,2013-01-01,25,1102268,167,2049
570,2013-01-01,25,1102971,310,2192
571,2013-01-01,25,1102975,492,2374
572,2013-01-01,25,1102976,556,2438
573,2013-01-01,25,1104599,173,2055
574,2013-01-01,25,1105212,573,2455
575,2013-01-01,25,1105214,187,2069
576,2013-01-01,25,1109325,667,2549
577,2013-01-01,25,1109389,805,2687
578,2013-01-02,1,103665,713,1859
579,2013-01-02,1,105574,523,1669
580,2013-01-02,1,105575,742,1888
581,2013-01-02,1,105577,718,1864
582,2013-01-02,1,105737,210,1356
583,2013-01-02,1,105857,121,1267
584,2013-01-02,1,106716,402,1548
585,2013-01-02,1,108696,499,1645
586,2013-01-02,1,108698,411,1557
587,2013-01-02,1,108701,428,1574
588,2013-01-02,1,108786,179,1325
589,2013-01-02,1,108797,343,1489
590,2013-01-02,1,108831,729,1875
591,2013-01-02,1,108862,514,1660
592,2013-01-02,1,108952,366,1512
593,2013-01-02,1,111223,516,1662
594,2013-01-02,1,111397,120,1266
595,2013-01-02,1,112830,66,1212
596,2013-01-02,1,114778,487,1633
597,2013-01-02,1,114790,872,2018
598,2013-01-02,1,114799,688,1834
599,2013-01-02,1,114800,610,1756
600,2013-01-02,1,115267,808,1954
601,2013-01-02,1,115611,263,1409
602,2013-01-02,1,115693,821,1967
603,2013-01-02,1,115850,2,1148
604,2013-01-02,1,115891,599,1745
605,2013-01-02,1,115892,547,1693
606,2013-01-02,1,115893,870,2016
607,2013-01-02,1,115894,526,1672
608,2013-01-02,1,116017,776,1922
609,2013-01-02,1,116018,484,1630
610,2013-01-02,1,116279,239,1385
611,2013-01-02,1,116311,513,1659
612,2013-01-02,1,119023,247,1393
613,2013-01-02,1,119024,703,1849
614,2013-01-02,1,119141,473,1619
615,2013-01-02,1,119191,540,1686
616,2013-01-02,1,119624,58,1204
617,2013-01-02,1,121964,221,1367
618,2013-01-02,1,122095,540,1686
619,2013-01-02,1,122419,518,1664
620,2013-01-02,1,122425,954,2100
621,2013-01-02,1,123347,965,2111
622,2013-01-02,1,123601,407,1553
623,2013-01-02,1,125430,325,1471
624,2013-01-02,1,127534,339,1485
625,2013-01-02,1,127547,299,1445
626,2013-01-02,1,129296,893,2039
627,2013-01-02,1,129297,234,1380
628,2013-01-02,1,129635,196,1342
629,2013-01-02,1,129758,141,1287
630,2013-01-02,1,153078,640,1786
631,2013-01-02,1,153267,828,1974
632,2013-01-02,1,153395,524,1670
633,2013-01-02,1,153398,536,1682
634,2013-01-02,1,155601,294,1440
635,2013-01-02,1,155610,104,1250
636,2013-01-02,1,155621,461,1607
637,2013-01-02,1,155625,543,1689
638,2013-01-02,1,158680,554,1700
639,2013-01-02,1,158789,191,1337
640,2013-01-02,1,158842,357,1503
641,2013-01-02,1,158875,835,1981
642,2013-01-02,1,159156,584,1730
643,2013-01-02,1,159242,282,1428
644,2013-01-02,1,162066,382,1528
645,2013-01-02,1,164036,698,1844
646,2013-01-02,1,164037,661,1807
647,2013-01-02,1,164088,850,1996
648,2013-01-02,1,164647,815,1961
649,2013-01-02,1,165550,398,1544
650,2013-01-02,1,165551,321,1467
651,2013-01-02,1,165553,431,1577
652,2013-01-02,1,165594,261,1407
653,2013-01-02,1,165704,900,2046
654,2013-01-02,1,165705,940,2086
655,2013-01-02,1,165718,777,1923
656,2013-01-02,1,165727,789,1935
657,2013-01-02,1,165988,451,1597
658,2013-01-02,1,167437,348,1494
659,2013-01-02,1,168927,439,1585
660,2013-01-02,1,168930,86,1232
661,2013-01-02,1,168989,617,1763
662,2013-01-02,1,169101,117,1263
663,2013-01-02,1,170791,422,1568
664,2013-01-02,1,172184,284,1430
665,2013-01-02,1,172343,143,1289
666,2013-01-02,1,173111,986,2132
667,2013-01-02,1,173113,549,1695
668,2013-01-02,1,174081,506,1652
669,2013-01-02,1,177050,264,1410
670,2013-01-02,1,177395,546,1692
671,2013-01-02,1,179274,859,2005
672,2013-01-02,1,179564,840,1986
673,2013-01-02,1,179615,412,1558
674,2013-01-02,1,205387,862,2008
675,2013-01-02,1,205486,259,1405
676,2013-01-02,1,205557,349,1495
677,2013-01-02,1,207857,443,1589
678,2013-01-02,1,208384,461,1607
679,2013-01-02,1,208386,962,2108
680,2013-01-02,1,208426,454,1600
681,2013-01-02,1,208498,24,1170
682,2013-01-02,1,208514,265,1411
683,2013-01-02,1,208539,172,1318
684,2013-01-02,1,208659,414,1560
685,2013-01-02,1,208699,945,2091
686,2013-01-02,1,209085,879,2025
687,2013-01-02,1,210520,176,1322
688,2013-01-02,1,210798,922,2068
689,2013-01-02,1,211205,251,1397
690,2013-01-02,1,211999,515,1661
691,2013-01-02,1,212550,19,1165
692,2013-01-02,1,213066,221,1367
693,2013-01-02,1,213652,908,2054
694,2013-01-02,1,213653,644,1790
695,2013-01-02,1,213788,167,1313
696,2013-01-02,1,214381,971,2117
697,2013-01-02,1,214860,215,1361
698,2013-01-02,1,214862,537,1683
699,2013-01-02,1,215303,623,1769
700,2013-01-02,1,215327,956,2102
701,2013-01-02,1,215332,683,1829
702,2013-01-02,1,215352,790,1936
703,2013-01-02,1,215356,910,2056
704,2013-01-02,1,215468,567,1713
705,2013-01-02,1,215896,975,2121
706,2013-01-02,1,218726,516,1662
707,2013-01-02,1,219147,958,2104
708,2013-01-02,1,219150,635,1781
709,2013-01-02,1,220435,508,1654
710,2013-01-02,1,220613,208,1354
711,2013-01-02,1,221506,228,1374
712,2013-01-02,1,222879,31,1177
713,2013-01-02,1,222975,610,1756
714,2013-01-02,1,223136,662,1808
715,2013-01-02,1,223434,722,1868
716,2013-01-02,1,226126,225,1371
717,2013-01-02,1,226857,455,1601
718,2013-01-02,1,227111,384,1530
719,2013-01-02,1,227728,202,1348
720,2013-01-02,1,229368,981,2127
721,2013-01-02,1,246052,730,1876
722,2013-01-02,1,252698,849,1995
723,2013-01-02,1,252970,905,2051
724,2013-01-02,1,252972,351,1497
725,2013-01-02,1,253145,283,1429
726,2013-01-02,1,255161,762,1908
727,2013-01-02,1,255202,592,1738
728,2013-01-02,1,257847,101,1247
729,2013-01-02,1,257848,778,1924
